–егион;январь 2015 г;‘евраль 2015 г;ћарт 2015 г;јпрель 2015 г;ћай 2015 г;»юнь 2015 г;»юль 2015 г;јвгуст 2015 г;—ент€брь 2015 г;ќкт€брь 2015 г;Ќо€брь 2015 г;ƒекабрь 2015 г;январь 2016 г;‘евраль 2016 г;ћарт 2016 г;јпрель 2016 г;ћай 2016 г;»юнь 2016 г;»юль 2016 г;јвгуст 2016 г;—ент€брь 2016 г;ќкт€брь 2016 г;Ќо€брь 2016 г;ƒекабрь 2016 г;январь 2017 г;‘евраль 2017 г;ћарт 2017 г;јпрель 2017 г;ћай 2017 г;»юнь 2017 г;»юль 2017 г;јвгуст 2017 г;—ент€брь 2017 г;ќкт€брь 2017 г;Ќо€брь 2017 г;ƒекабрь 2017 г;январь 2018 г;‘евраль 2018 г;ћарт 2018 г;јпрель 2018 г;ћай 2018 г;»юнь 2018 г;»юль 2018 г;јвгуст 2018 г;—ент€брь 2018 г;ќкт€брь 2018 г;Ќо€брь 2018 г;ƒекабрь 2018 г;январь 2019 г;‘евраль 2019 г;ћарт 2019 г;јпрель 2019 г;ћай 2019 г;»юнь 2019 г;»юль 2019 г;јвгуст 2019 г;—ент€брь 2019 г;ќкт€брь 2019 г;Ќо€брь 2019 г;ƒекабрь 2019 г;январь 2020 г;‘евраль 2020 г;ћарт 2020 г;јпрель 2020 г;ћай 2020 г;»юнь 2020 г;»юль 2020 г;јвгуст 2020 г;—ент€брь 2020 г;ќкт€брь 2020 г;Ќо€брь 2020 г;ƒекабрь 2020 г;январь 2021 г;‘евраль 2021 г;ћарт 2021 г;јпрель 2021 г;ћай 2021 г;»юнь 2021 г;»юль 2021 г;јвгуст 2021 г;—ент€брь 2021 г;ќкт€брь 2021 г;Ќо€брь 2021 г;ƒекабрь 2021 г;январь 2022 г;‘евраль 2022 г;ћарт 2022 г;јпрель 2022 г;ћай 2022 г;»юнь 2022 г;»юль 2022 г;јвгуст 2022 г;—ент€брь 2022 г;ќкт€брь 2022 г;Ќо€брь 2022 г;ƒекабрь 2022 г;январь 2023 г;‘евраль 2023 г;ћарт 2023 г;јпрель 2023 г;ћай 2023 г;»юнь 2023 г;»юль 2023 г;јвгуст 2023 г;—ент€брь 2023 г;ќкт€брь 2023 г;Ќо€брь 2023 г;ƒекабрь 2023 г;январь 2024 г;‘евраль 2024 г;ћарт 2024 г;јпрель 2024 г;ћай 2024 г;»юнь 2024 г;»юль 2024 г;јвгуст 2024 г;—ент€брь 2024 г;ќкт€брь 2024 г;Ќо€брь 2024 г;ƒекабрь 2024 г
–≈—ѕ”ЅЋ» ј  ј«ј’—“јЌ;3400.96;3 685.90;4 154.40;5 203.90;5 084.10;6 718.80;4 235.00;4 015.00;4 907.50;4 274.80;3 858.40;6 477.40;3 884.80;4 146.90;4 282.10;5 408.90;4 390.60;8 005.50;5 105.80;4 700.10;5 548.90;3 958.10;6 264.30;9 196.30;3 739.80;4 951.20;6 316.70;5 751.40;5 747.20;10 114.00;5 944.40;6 768.60;5 781.60;5 885.50;7 429.30;9 411.90;5 555.90;4 586.50;7 970.30;8 130.30;8 048.50;14 491.90;7 543.30;7 397.00;9 668.60;6 730.20;7 987.90;11 121.60;5 666.50;5 917.70;8 899.60;7 785.00;9 167.10;16 299.70;7 164.20;7 341.20;10 162.70;13 532.60;11 737.20;14 948.70;7 041.40;4 341.70;10 336.10;7 419.10;10 452.60;16 413.70;7 973.90;8 901.50;10 934.80;13 130.80;12 849.00;18 882.80;8 135.60;6 432.20;9 650.40;10 482.50;11 405.80;16 121.50;9 114.90;14 885.30;13 567.00;13 474.00;12 558.40;20 382.80;6 709.40;8 554.70;12 487.60;9 184.30;7 094.70;16 471.10;6 373.00;10 145.10;8 831.10;11 123.00;8 927.10;11 379.10;7 452.80;6 836.90;8 719.50;9 925.30;7 684.40;12 218.40;6 460.20;11 289.60;15 156.60;9 790.70;9 021.80;13 193.60;6 799.90;12 303.70;9 703.50;11 165.60;8 179.10;24 407.50;9 835.20;11 955.40;16 955.60;10 638.40;9 612.90;21 521.50
    ј ћќЋ»Ќ— јя ќЅЋј—“№;514.75;498;863.9;667.8;633.4;600.9;875.5;942.2;856.9;981;873.9;1 390.20;736.6;845.6;774.4;619;701.7;796.5;914.5;736.5;897.9;912.5;868;1 102.50;660.1;731.1;835;860.7;883.4;963.3;745.3;844;678;1 025.10;1 312.30;919.3;670.3;942.7;847.3;907.9;1 002.20;911.6;873.1;1 070.90;938.2;832.7;780.1;792.7;993.8;1 044.10;1 250.30;892.2;1 441.80;1 249.60;822.7;1 007.60;1 333.00;1 160.50;1 088.60;1 165.00;782.5;829.6;1 780.70;1 077.40;1 145.60;1 100.70;898.8;829.7;930.6;1 135.00;1 026.00;1 133.30;1 141.00;957.5;1 261.80;979.5;1 029.20;864.1;1 056.20;1 019.40;1 028.60;1 254.10;1 025.90;1 062.90;538;1 089.00;1 631.30;1 183.70;1 118.30;1 064.20;1 240.10;1 000.30;1 269.70;1 136.10;1 231.00;1 027.00;1 294.10;936.8;1 229.10;1 048.80;1 040.50;1 181.80;869.8;993.6;938.9;1 102.70;1 001.60;1 079.40;972.1;938.4;978.4;1 071.40;1 067.80;1 119.60;898.1;1 382.00;1 133.40;1 073.30;1 118.20;1 332.90
    ј “ёЅ»Ќ— јя ќЅЋј—“№;554.41;504.4;493.6;445.5;585.8;316.5;469.5;303.1;685.5;600.9;603.3;700.5;477.8;221.1;265.6;328;384;555.1;615.9;619.3;770.8;302.3;1 076.30;862.5;473.7;475.3;814.2;638.9;643;835;902.7;701.2;756.6;726.7;654.3;801.5;703.3;514.5;952.2;1 018.40;968.7;845.9;758.2;931.5;1 070.10;1 278.40;1 627.70;1 714.60;704.5;899.7;1 554.10;1 351.40;1 050.70;1 485.50;814.1;1 169.80;2 388.30;1 595.40;3 809.80;3 510.20;954.5;481.4;1 111.60;1 034.00;1 939.90;2 152.50;1 578.90;1 426.40;2 620.90;2 434.40;3 247.30;3 281.70;580.9;823.3;1 221.20;1 626.10;1 920.40;2 637.60;1 620.80;2 135.00;3 425.70;3 449.00;3 751.80;3 827.40;826.2;1 132.80;1 544.90;1 885.50;698;4 712.70;508.1;592.2;902.3;1 479.40;1 219.30;658.8;589.8;1 275.20;1 508.30;1 380.20;842.2;3 478.30;774.5;764.8;3 003.90;1 876.70;1 547.80;607;609.1;873.1;1 520.50;1 747.10;915.8;1 852.00;932.6;945.1;1 142.90;1 637.60;1 180.50;1 045.70
    јЋћј“»Ќ— јя ќЅЋј—“№;178.3;362.9;352.5;451.8;228.3;708.8;280.6;126.6;629.4;314.3;302.7;273.9;363;524.4;549.5;1 221.30;663;1 033.40;877.5;795.9;549.7;524.2;762.8;910;361.5;659.4;489.3;413.1;901.5;633.5;986.1;1 245.50;678.1;462.4;1 124.20;1 042.70;626.2;691.7;900.6;546.9;753.5;1 249.20;870.1;1 085.30;767.1;833.7;621.7;1 270.70;647.6;859.7;627.6;510.2;1 060.90;748.1;795.6;713.1;917.6;2 486.30;1 047.70;1 717.00;138.8;193.6;1 915.10;318.1;1 376.10;1 100.90;732.6;403.9;1 133.20;296.3;529;765.8;256.7;247.5;1 642.60;204;1 358.40;1 168.30;299.4;1 286.70;482.1;219.4;455.7;342.5;185.1;235.1;1 692.40;276.3;475.5;1 043.30;357.5;225.5;212.3;344.6;413.8;211.8;379.9;109.8;195;292.9;204.4;410.9;155;100.4;1 354.60;189.3;152.6;186.9;142;214.1;1 055.40;110.5;188.2;172.6;112.3;135;1 212.00;260;129.4;159.7
    ј“џ–ј”— јя ќЅЋј—“№;20.8;0.8;15.3;2;2;1.3;0.8;1.4;1;0.4;1.5;6.3;7.4;20.6;10.5;11.8;16.1;27.6;15.8;11.2;15.2;3.5;5.1;10.2;7.4;4.5;6.2;3.3;10;3.4;9.3;32.9;48.3;21.4;4.5;6.7;3;38.7;2.9;23.2;8.4;2.4;19.8;0.3;13.9;1.8;83.6;19.9;5;3.3;0.2;7.3;7.9;7.8;0.1;;2.1;13.8;1.7;2;1.8;6.5;7.3;5.7;11;6;1.6;1.6;19.4;9.3;22.9;;3.1;3.2;8.9;2.7;3.9;2.1;4.5;1.4;1.7;8.3;13.1;20.2;8.9;9.6;2.1;9.1;5.6;3.5;;;2.6;;5.1;5.7;;0.1;1.9;;1.4;4.2;1.4;0.5;1.6;0.5;;51.6;16.2;17.5;13.5;25.1;13.7;16.1;17.4;41.6;56.6;49.5;40.8;27.2
    «јѕјƒЌќ- ј«ј’—“јЌ— јя ќЅЋј—“№;36.38;16.1;148.5;145.3;131.3;115;60.6;83.6;139.1;108;86.2;275.8;93.8;204.9;254.4;82.9;52.2;57.3;33.9;20.7;47;72.5;102.4;252.4;87.8;153;177;87.7;123.8;217.1;133.9;113.9;87;67.9;188.9;312.2;156;131.9;155.2;183.8;131.9;220.6;117.8;77.7;271.5;169.2;230.2;256.5;126.9;104.2;95.7;94.3;75.9;248.4;150.1;104.5;396.7;194.1;288.3;375.5;208.8;151.2;138;108.6;142.5;302.4;70.8;120.1;288.5;342.2;290.2;633.3;135.3;200.1;271.7;621.2;617.4;350.3;87.8;121.6;195;156.7;267.8;585.1;152.5;368.9;202.8;439.3;284.6;1 207.70;224.1;134.7;265.6;299.5;504.3;406.8;560.1;266.3;327.8;372.5;239;585.8;445;519.8;679.6;631;380.4;457.9;486.2;222.8;333.5;438;378.2;585.9;607.3;944.7;517.3;622.4;478.1;964.4
    ∆јћЅџЋ— јя ќЅЋј—“№;11.35;52.6;24.7;76.6;106.3;23.5;128.5;270.8;30.1;19.1;32.9;44.2;16.1;475.6;29.4;310;365.5;32.7;23.9;22.9;30.9;54.8;64.1;910.5;16.1;335.1;194.9;464.6;119.1;243;531.9;1 150.30;40.4;32.2;328.9;780.8;436.4;39.1;1 024.80;876;845.4;843.1;461.9;1 072.20;1 831.90;352.1;542.2;2 062.60;541.8;448.7;972.4;530.2;404.3;1 844.90;308.5;1 232.00;1 682.60;637.1;543.5;1 728.40;2 042.30;115;296.3;239.4;282.8;694.1;37.1;1 190.00;771.9;384.8;96.1;5 995.40;1 891.20;84.2;1 040.00;175.8;240.5;1 529.80;71.1;721.5;2 466.20;1 049.30;791.7;5 273.30;290.3;371.2;1 393.50;33.7;87.6;1 066.20;12.2;134.6;997.3;394.7;359.4;1 708.70;136.6;44.9;1 223.70;54.8;140.5;817.7;9.3;13.4;58.1;77.2;98.8;25.2;174.8;122.6;1 474.60;96.1;187.1;148;102.7;33.4;6.3;16.6;18.3;31
     ј–ј√јЌƒ»Ќ— јя ќЅЋј—“№;40.29;47.5;16.2;39.2;38;33.5;25.4;31.9;77.9;30.6;24.9;37.4;32.5;10.8;40.6;38.1;28.9;83.9;31.3;54.6;85.8;24.3;72.4;91.5;32.5;47.1;42.9;78.4;115.8;101.4;22.4;80.1;83.4;145.2;82.4;82.2;5.1;43.8;39.8;24.7;82.1;53.1;37.9;46.5;68.6;15.9;44.1;174.4;16.9;106.4;180.5;133.9;170.2;239;102.7;305.2;419.2;138.9;193.7;139.5;328.4;86.4;351.4;70.1;952.7;715.2;164.2;269.7;109.2;647.5;603.2;484.6;542.9;493.9;320.3;448.1;460.6;988.6;712.5;693.7;895.1;1 273.50;471.6;737.7;1 003.00;311.8;1 384.40;343.8;236.1;104.2;156;60.9;270.6;646.2;113.2;303.3;244.9;228;215.2;103.8;188.9;148.8;90.3;162.8;206.3;260.5;242.9;250.1;126.1;155.2;91.4;242.1;190;167.9;87.9;103.4;191.9;116.9;101.7;153.6
     ќ—“јЌј…— јя ќЅЋј—“№;817.94;781.7;1 025.50;1 792.40;2 083.40;3 322.80;978.7;838.1;899;1 060.40;885.5;831.9;838;740.9;876;1 083.90;1 019.40;3 257.60;1 015.70;934.9;1 080.10;1 093.10;1 287.80;2 205.80;802.4;952.6;1 157.20;1 192.30;1 669.30;4 498.30;970.9;1 222.60;1 299.30;1 034.80;1 174.70;858.1;1 393.20;895.8;1 244.70;1 447.40;1 670.20;5 149.30;1 077.30;960.9;1 827.90;1 074.90;1 632.40;1 061.70;1 107.40;1 135.40;1 327.90;1 796.80;1 704.60;4 020.50;1 438.90;897.7;908.5;946.9;1 068.20;1 341.30;1 157.70;1 242.90;1 467.20;2 470.40;1 841.90;3 526.60;1 979.70;1 571.50;2 240.10;1 595.90;2 066.80;1 033.50;1 829.50;1 685.40;1 641.50;3 008.30;2 051.70;3 343.70;2 618.20;1 226.30;1 693.70;1 235.10;1 341.30;1 584.70;1 584.90;797.8;1 302.00;1 342.30;1 667.20;3 263.80;1 211.10;1 056.10;940.9;832.5;1 277.40;1 336.80;1 662.00;1 627.80;1 111.30;1 344.00;1 241.40;1 300.80;1 105.80;910.6;1 125.20;1 227.30;1 301.40;1 261.50;1 150.40;1 287.70;1 382.10;1 446.60;1 251.70;6 621.90;1 607.90;950.8;1 441.70;1 435.30;1 167.10;1 385.30
     џ«џЋќ–ƒ»Ќ— јя ќЅЋј—“№;9.7;15.3;21.8;13.1;6.7;8.4;10.1;11.9;2.8;7;19.6;29.1;38.6;51.3;32.6;20.7;37.2;36.4;66.2;39.7;2.6;5.8;70.4;30.2;38.6;21.7;17.8;26.4;3.4;38.1;51.2;61.9;53.5;33.1;29.4;54.1;65.3;142.2;58.7;48.7;35.3;27;38.3;87.6;52.8;38;65.9;170.7;28.6;66;80.6;10.5;176;81.7;89.7;96.2;166.3;66.6;118.7;255.7;133.5;84.5;30.2;175;100.7;108.9;32.7;41.8;55.6;79.1;108.5;87.4;42.8;75.8;42.2;143.2;91.8;116.2;38.3;22.7;8.3;113.7;85.7;138.2;58.1;67.3;64.3;148;87.8;121.7;45.2;53.3;30.7;78.8;112.2;193.6;62.4;65.4;51.9;141.4;81;120.4;28;49.1;62.5;77.8;82.3;117;117.3;75;51.1;118.2;104.7;137.2;43.3;71.1;55.4;79.6;41.3;110.8
    ћјЌ√»—“ј”— јя ќЅЋј—“№;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4.8;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;2.1;-;-;-;0.6;-;-;1.8;0.3;-;0.3;0.6;-;-;-;-;-;-;0.6;0.9;3.3;1.7;0.6;8.8;-;-;9;2.8;5.6;;;7.2;2.3;0.3;3.9;2;4.8;0.4;3.4;5.8;2.1;0.3;2.8;2.8;2.8;2.8;0.6;2.8;2.8;1.5;1.1;1.5;13.4;1.1;1.1;1.7;1.1;1.1;1.1;1.1;2;1.1;1.4;1.1;1.4;1.4;1.1;2.6;1.1;2;1.1;1.9;1.1;1.1;1.1;2.8;1.7;1.7;151.7;1.7;1.7;1.7;10.1;1.7;2.3;2.1
    ё∆Ќќ- ј«ј’—“јЌ— јя ќЅЋј—“№;434.41;519.6;344.5;626.5;331.3;464.7;145.9;221.3;254;312.8;177.3;863.1;392.3;233.1;354.3;398;226.5;619.4;240.9;539.7;338.1;286.9;579.3;1 022.90;372.6;968.1;1 500.40;993.5;377.1;1 606.60;776;521.2;895.6;909.8;1 044.70;2 417.80;355.6;249.3;1 663.50;2 122.10;1 381.20;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
    ѕј¬Ћќƒј–— јя ќЅЋј—“№;402.8;408.8;424.9;488;440;518.2;770.7;842;776.1;345.4;282.4;790.2;339.9;269.3;499.2;576.6;368.7;871.1;646.8;508.5;973.4;232.8;631.4;638.6;338.9;158;158.4;388.1;254.5;416.1;282.4;289.3;345.1;773.6;824.6;992.7;393.5;265.7;391.6;201.1;433.7;753.7;294.9;325.1;786.6;775.6;733.5;1 622.80;212;441.3;533.6;321.9;706.1;534.1;881.5;496.5;355.2;293.8;1 059.60;1 544.30;355.2;243.3;612.8;277.5;579;456.7;1 014.20;716.1;636.9;886;818.7;2 188.30;398.5;404;870.2;923.4;740.5;607.1;959.6;917.5;731.2;545.4;887.6;1 810.00;271.9;2 370.50;962.2;1 008.00;517.8;687.1;678.4;598.3;883.3;587.8;740.8;1 700.90;549.2;660.7;915.1;768.1;869.2;1 089.90;1 072.20;1 236.90;2 337.10;996.3;1 918.90;3 755.40;1 112.20;961.5;409.4;983.5;1 020.00;1 508.80;2 012.30;2 007.40;1 848.30;1 064.50;1 310.20;1 556.50
    —≈¬≈–ќ- ј«ј’—“јЌ— јя ќЅЋј—“№;218.07;303.2;267.7;280.3;341.5;353.5;372.2;234.7;430.5;387.3;358;1 011.10;342;370.6;416.3;504.4;383;499.7;480.3;324.2;468.4;298;527.3;884.3;341.9;316.4;719.6;414.6;460.1;427.3;411.3;389.6;636;424.3;366.3;912.5;494.9;471.1;471;483.6;432.9;532.5;538.7;414.5;832;723.2;564.4;626.2;1 012.10;468.4;588.4;503.2;541;319;557.3;381.6;764.6;686.2;592.1;480.3;558.7;615.8;529;454.5;634.9;555.8;527.9;465.8;478.2;533.3;538.3;889;591.3;550.6;507.4;459.9;528.9;1 418.30;479.8;596.2;648.2;504.3;664.4;843.9;768.5;560.8;443;679.1;602.3;754.7;672.4;933.8;697.6;574.1;527.8;588.5;984.6;714.7;491.9;637.2;805.1;558.5;395.9;630.2;845.7;730.1;711.6;847.3;596.1;989.3;642.2;554;601;641.6;547;781.7;846.5;888.5;667.3;620.1
    ¬ќ—“ќ„Ќќ- ј«ј’—“јЌ— јя ќЅЋј—“№;159.16;156.5;148.9;163.8;144.6;239.6;115;104.6;122.4;104.6;206.8;219.2;204.4;177;172.6;211.8;141.7;134;142;91.9;283.7;147.7;217.1;273.5;203.8;128.8;199.4;186;184.5;128.1;118;111.2;172.1;221.5;284;227.4;248.2;159.6;215.6;245.8;303;199.4;139;164.3;572;174.7;284.7;314;163.8;237.9;266.1;184.7;200;199.4;89.9;208.9;120.7;139.3;113.3;212.8;151.4;168.1;160.5;193.7;198.1;392.1;281.3;240.6;327.9;194.5;303.6;446.2;208.8;174.9;289.1;194.1;216.2;242.6;238.6;214.7;213.3;225.5;214.6;364.5;333.7;165.1;164.2;254.4;166.7;87.6;112.2;152.5;164.2;110.2;182.4;146.3;142.2;153.7;132.3;280.4;288.2;180.8;102.8;101.3;136.4;124.1;119.5;226.4;307.9;178.1;104.4;97.8;255.8;135.6;90.5;92.8;157.3;135.5;105.1;140.8
    √ј—“јЌј;2.6;18.7;6.5;11.8;11.4;12.2;1.7;2.8;2.6;3;3.5;2.9;2.5;1.7;2;2.5;2.7;0.9;1.2;;5.3;;;1.4;2.5;;2.4;3.8;1.8;2.9;3.3;5;8.3;7.6;8;4;5.1;0.5;1.8;0.8;;3.4;1.8;2.4;1.3;1.1;2.3;0.8;1.2;1.8;0.6;1;0.6;-;-;-;-;-;-;2.5;-;;0.1;;;0.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.3;1.2;1.1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
    √Ўџћ ≈Ќ“;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;905.6;583.2;5.1;67.7;3.2;21.8;50.4;12.8;5.6;7.6;1 205.50;1 215.10;1 555.60;473.2;519.6;128.4;310.5;307.5;190.6;8.6;7.8;6.6;746.9;1 114.40;1 810.30;350.5;571.2;166;551.4;243.5;185.7;64.8;117.9;130.8;537.2;1 187.90;2 161.90;405.6;462.4;365.9;410;404.4;627.6;101;255.3;213.5;353.3;55.9;;5.1;0.6;35.3;4.4;4.1;4.8;57.5;3.7;140.9;103.3;5.6;23.4;46.9;23.7;76.4;1 283.70;180.1;53;174.3;73.2;119.8;104.4;6.1;16;9.8;12.1;12.3;159.2;245.2;115.8
    “”– ≈—“јЌ— јя ќЅЋј—“№;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2 793.30;1 730.90;1 152.80;566.9;455;753.2;983.4;92.3;95.3;1 414.20;242;411.6;3 765.30;636.7;206.9;578.9;4 854.40;1 504.60;2 283.80;210;113;1 923.90;247.7;133.3;3 484.20;301.4;1 052.80;1 152.50;4 039.10;2 950.10;1 758.40;445.6;608.2;400.5;1 158.70;955.6;688.1;519.6;5 463.30;1 411.70;3 026.90;2 180.10;3 163.40;586.3;818.1;1 473.60;1 226.80;1 090.10;1 092.40;1 065.40;4 968.50;2 037.70;3 958.60;1 838.20;2 672.80;646.9;627.6;849.7;3 207.00;1 558.10;1 228.00;1 290.40;5 666.10;4 217.20;1 004.80;936.4;3 805.00;601.4;5 917.20;1 366.10;4 009.20;1 575.60;10 529.90;1 593.90;4 331.40;8 049.50;2 910.80;2 821.30;13 033.70
    ќЅЋј—“№ ∆≈“≤—”;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1 219.60;30.9;32.8;42.6;402.5;197.1;241;114.8;96.2;217.3;55.1;71.8;1 058.90;47.7;52.6;55.2;58.4;181.8;278.2;102;117.7;74.7;43.8;249.2;687.3;1 116.10;54.6;171.4;113.1;126;741.8
    ќЅЋј—“№ ?Ћџ“ј”;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;;;46.3;59.2;69.1;4.7;3;30.2;78;0.9;0.8;0.8;1.3;1.5;48.3;62;78.1;2.3;2.5;4.8;3;3.3;3.8;4;4;4.3;1;1.3;1.5
    ќЅЋј—“№ јЅј…;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;40.6;53.1;199.9;77.3;225.9;138.8;100.9;21.7;21.9;76.6;56.4;105.1;26.7;23.3;60.6;55.3;100.4;102.6;112.5;108.7;155.2;79.9;73.2;19.5;61.6;50.5;62.7;98.5;73.1;59.1;98.7
